route,airline,travel_date,booking_date,advance_window_days,fare_class,base_fare,taxes,udf,convenience_fee,total_fare,source,timestamp_collected
BOM-BLR,Air India Express,2026-06-25,2026-06-24,1,Premium Economy,666.97,120.05,65.16,49,901.18,airline site,2026-06-24T00:00:00+00:00
BOM-BLR,Akasa Air,2026-06-25,2026-06-24,1,Economy Saver,719.22,129.46,65.16,35,948.84,MakeMyTrip,2026-06-24T00:00:00+00:00
BOM-BLR,SpiceJet,2026-06-25,2026-06-24,1,Economy Flex,736.29,132.53,65.16,42,975.98,Cleartrip,2026-06-24T00:00:00+00:00
BOM-BLR,IndiGo,2026-07-01,2026-06-24,7,Economy Saver,614.45,110.6,65.16,35,825.21,Cleartrip,2026-06-24T00:00:00+00:00
BOM-BLR,Air India,2026-07-01,2026-06-24,7,Economy Flex,642.68,115.68,65.16,42,865.52,ixigo,2026-06-24T00:00:00+00:00
BOM-BLR,Air India Express,2026-07-01,2026-06-24,7,Premium Economy,706.87,127.24,65.16,49,948.27,airline site,2026-06-24T00:00:00+00:00
BOM-BLR,Akasa Air,2026-07-01,2026-06-24,7,Economy Saver,667.14,120.09,65.16,35,887.39,MakeMyTrip,2026-06-24T00:00:00+00:00
BOM-BLR,SpiceJet,2026-07-01,2026-06-24,7,Economy Flex,736.36,132.54,65.16,42,976.06,Cleartrip,2026-06-24T00:00:00+00:00
BOM-BLR,IndiGo,2026-07-09,2026-06-24,15,Economy Saver,550.07,99.01,65.16,35,749.24,Cleartrip,2026-06-24T00:00:00+00:00
BOM-BLR,Air India,2026-07-09,2026-06-24,15,Economy Flex,595.17,107.13,65.16,42,809.46,ixigo,2026-06-24T00:00:00+00:00
BOM-BLR,Air India Express,2026-07-09,2026-06-24,15,Premium Economy,624.0,112.32,65.16,49,850.48,airline site,2026-06-24T00:00:00+00:00
BOM-BLR,Akasa Air,2026-07-09,2026-06-24,15,Economy Saver,652.08,117.37,65.16,35,869.61,MakeMyTrip,2026-06-24T00:00:00+00:00
BOM-BLR,SpiceJet,2026-07-09,2026-06-24,15,Economy Flex,673.76,121.28,65.16,42,902.2,Cleartrip,2026-06-24T00:00:00+00:00
BOM-BLR,IndiGo,2026-07-24,2026-06-24,30,Economy Saver,548.51,98.73,65.16,35,747.4,Cleartrip,2026-06-24T00:00:00+00:00
BOM-BLR,Air India,2026-07-24,2026-06-24,30,Economy Flex,543.77,97.88,65.16,42,748.81,ixigo,2026-06-24T00:00:00+00:00
BOM-BLR,Air India Express,2026-07-24,2026-06-24,30,Premium Economy,556.91,100.24,65.16,49,771.31,airline site,2026-06-24T00:00:00+00:00
BOM-BLR,Akasa Air,2026-07-24,2026-06-24,30,Economy Saver,598.75,107.77,65.16,35,806.68,MakeMyTrip,2026-06-24T00:00:00+00:00
BOM-BLR,SpiceJet,2026-07-24,2026-06-24,30,Economy Flex,593.07,106.75,65.16,42,806.98,Cleartrip,2026-06-24T00:00:00+00:00
BOM-BLR,IndiGo,2026-08-08,2026-06-24,45,Economy Saver,424.75,76.45,65.16,35,601.36,Cleartrip,2026-06-24T00:00:00+00:00
BOM-BLR,Air India,2026-08-08,2026-06-24,45,Economy Flex,436.86,78.63,65.16,42,622.65,ixigo,2026-06-24T00:00:00+00:00
BOM-BLR,Air India Express,2026-08-08,2026-06-24,45,Premium Economy,450.12,81.02,65.16,49,645.3,airline site,2026-06-24T00:00:00+00:00
BOM-BLR,Akasa Air,2026-08-08,2026-06-24,45,Economy Saver,480.75,86.53,65.16,35,667.44,MakeMyTrip,2026-06-24T00:00:00+00:00
BOM-BLR,SpiceJet,2026-08-08,2026-06-24,45,Economy Flex,486.82,87.63,65.16,42,681.61,Cleartrip,2026-06-24T00:00:00+00:00
DEL-CCU,IndiGo,2026-06-25,2026-06-24,1,Economy Saver,935.02,168.3,73.49,35,1211.81,ixigo,2026-06-24T00:00:00+00:00
DEL-CCU,Air India,2026-06-25,2026-06-24,1,Economy Flex,925.51,166.59,73.49,42,1207.59,airline site,2026-06-24T00:00:00+00:00
DEL-CCU,Air India Express,2026-06-25,2026-06-24,1,Premium Economy,983.18,176.97,73.49,49,1282.64,MakeMyTrip,2026-06-24T00:00:00+00:00
DEL-CCU,Akasa Air,2026-06-25,2026-06-24,1,Economy Saver,1037.84,186.81,73.49,35,1333.14,Cleartrip,2026-06-24T00:00:00+00:00
DEL-CCU,SpiceJet,2026-06-25,2026-06-24,1,Economy Flex,1030.29,185.45,73.49,42,1331.23,ixigo,2026-06-24T00:00:00+00:00
DEL-CCU,IndiGo,2026-07-01,2026-06-24,7,Economy Saver,872.77,157.1,73.49,35,1138.36,ixigo,2026-06-24T00:00:00+00:00
DEL-CCU,Air India,2026-07-01,2026-06-24,7,Economy Flex,863.54,155.44,73.49,42,1134.47,airline site,2026-06-24T00:00:00+00:00
DEL-CCU,Air India Express,2026-07-01,2026-06-24,7,Premium Economy,905.36,162.96,73.49,49,1190.81,MakeMyTrip,2026-06-24T00:00:00+00:00
DEL-CCU,Akasa Air,2026-07-01,2026-06-24,7,Economy Saver,935.36,168.36,73.49,35,1212.21,Cleartrip,2026-06-24T00:00:00+00:00
DEL-CCU,SpiceJet,2026-07-01,2026-06-24,7,Economy Flex,931.74,167.71,73.49,42,1214.94,ixigo,2026-06-24T00:00:00+00:00
DEL-CCU,IndiGo,2026-07-09,2026-06-24,15,Economy Saver,802.61,144.47,73.49,35,1055.57,ixigo,2026-06-24T00:00:00+00:00
DEL-CCU,Air India,2026-07-09,2026-06-24,15,Economy Flex,799.78,143.96,73.49,42,1059.23,airline site,2026-06-24T00:00:00+00:00
DEL-CCU,Air India Express,2026-07-09,2026-06-24,15,Premium Economy,843.7,151.87,73.49,49,1118.06,MakeMyTrip,2026-06-24T00:00:00+00:00
DEL-CCU,Akasa Air,2026-07-09,2026-06-24,15,Economy Saver,888.62,159.95,73.49,35,1157.06,Cleartrip,2026-06-24T00:00:00+00:00
DEL-CCU,SpiceJet,2026-07-09,2026-06-24,15,Economy Flex,916.06,164.89,73.49,42,1196.44,ixigo,2026-06-24T00:00:00+00:00
DEL-CCU,IndiGo,2026-07-24,2026-06-24,30,Economy Saver,728.41,131.11,73.49,35,968.01,ixigo,2026-06-24T00:00:00+00:00
DEL-CCU,Air India,2026-07-24,2026-06-24,30,Economy Flex,731.7,131.71,73.49,42,978.9,airline site,2026-06-24T00:00:00+00:00
DEL-CCU,Air India Express,2026-07-24,2026-06-24,30,Premium Economy,746.08,134.29,73.49,49,1002.86,MakeMyTrip,2026-06-24T00:00:00+00:00
DEL-CCU,Akasa Air,2026-07-24,2026-06-24,30,Economy Saver,780.48,140.49,73.49,35,1029.46,Cleartrip,2026-06-24T00:00:00+00:00
DEL-CCU,SpiceJet,2026-07-24,2026-06-24,30,Economy Flex,752.23,135.4,73.49,42,1003.12,ixigo,2026-06-24T00:00:00+00:00
DEL-CCU,IndiGo,2026-08-08,2026-06-24,45,Economy Saver,536.79,96.62,73.49,35,741.9,ixigo,2026-06-24T00:00:00+00:00
DEL-CCU,Air India,2026-08-08,2026-06-24,45,Economy Flex,555.04,99.91,73.49,42,770.44,airline site,2026-06-24T00:00:00+00:00
DEL-CCU,Air India Express,2026-08-08,2026-06-24,45,Premium Economy,577.76,104.0,73.49,49,804.25,MakeMyTrip,2026-06-24T00:00:00+00:00
DEL-CCU,Akasa Air,2026-08-08,2026-06-24,45,Economy Saver,624.73,112.45,73.49,35,845.67,Cleartrip,2026-06-24T00:00:00+00:00
DEL-CCU,SpiceJet,2026-08-08,2026-06-24,45,Economy Flex,612.2,110.2,73.49,42,837.89,ixigo,2026-06-24T00:00:00+00:00
BLR-HYD,IndiGo,2026-06-25,2026-06-24,1,Economy Saver,453.91,81.7,58.26,35,628.87,airline site,2026-06-24T00:00:00+00:00
BLR-HYD,Air India,2026-06-25,2026-06-24,1,Economy Flex,489.21,88.06,58.26,42,677.53,MakeMyTrip,2026-06-24T00:00:00+00:00
BLR-HYD,Air India Express,2026-06-25,2026-06-24,1,Premium Economy,477.6,85.97,58.26,49,670.83,Cleartrip,2026-06-24T00:00:00+00:00
BLR-HYD,Akasa Air,2026-06-25,2026-06-24,1,Economy Saver,506.14,91.11,58.26,35,690.51,ixigo,2026-06-24T00:00:00+00:00
BLR-HYD,SpiceJet,2026-06-25,2026-06-24,1,Economy Flex,491.74,88.51,58.26,42,680.51,airline site,2026-06-24T00:00:00+00:00
BLR-HYD,IndiGo,2026-07-01,2026-06-24,7,Economy Saver,438.14,78.87,58.26,35,610.27,airline site,2026-06-24T00:00:00+00:00
BLR-HYD,Air India,2026-07-01,2026-06-24,7,Economy Flex,439.36,79.08,58.26,42,618.7,MakeMyTrip,2026-06-24T00:00:00+00:00
BLR-HYD,Air India Express,2026-07-01,2026-06-24,7,Premium Economy,458.14,82.47,58.26,49,647.87,Cleartrip,2026-06-24T00:00:00+00:00
BLR-HYD,Akasa Air,2026-07-01,2026-06-24,7,Economy Saver,485.76,87.44,58.26,35,666.46,ixigo,2026-06-24T00:00:00+00:00
BLR-HYD,SpiceJet,2026-07-01,2026-06-24,7,Economy Flex,459.21,82.66,58.26,42,642.13,airline site,2026-06-24T00:00:00+00:00
BLR-HYD,IndiGo,2026-07-09,2026-06-24,15,Economy Saver,421.1,75.8,58.26,35,590.16,airline site,2026-06-24T00:00:00+00:00
BLR-HYD,Air India,2026-07-09,2026-06-24,15,Economy Flex,428.89,77.2,58.26,42,606.35,MakeMyTrip,2026-06-24T00:00:00+00:00
BLR-HYD,Air India Express,2026-07-09,2026-06-24,15,Premium Economy,428.76,77.18,58.26,49,613.2,Cleartrip,2026-06-24T00:00:00+00:00
BLR-HYD,Akasa Air,2026-07-09,2026-06-24,15,Economy Saver,427.47,76.94,58.26,35,597.67,ixigo,2026-06-24T00:00:00+00:00
BLR-HYD,SpiceJet,2026-07-09,2026-06-24,15,Economy Flex,456.62,82.19,58.26,42,639.07,airline site,2026-06-24T00:00:00+00:00
BLR-HYD,IndiGo,2026-07-24,2026-06-24,30,Economy Saver,384.13,69.14,58.26,35,546.53,airline site,2026-06-24T00:00:00+00:00
BLR-HYD,Air India,2026-07-24,2026-06-24,30,Economy Flex,400.06,72.01,58.26,42,572.33,MakeMyTrip,2026-06-24T00:00:00+00:00
BLR-HYD,Air India Express,2026-07-24,2026-06-24,30,Premium Economy,406.48,73.17,58.26,49,586.91,Cleartrip,2026-06-24T00:00:00+00:00
BLR-HYD,Akasa Air,2026-07-24,2026-06-24,30,Economy Saver,432.37,77.83,58.26,35,603.46,ixigo,2026-06-24T00:00:00+00:00
BLR-HYD,SpiceJet,2026-07-24,2026-06-24,30,Economy Flex,420.55,75.7,58.26,42,596.51,airline site,2026-06-24T00:00:00+00:00
BLR-HYD,IndiGo,2026-08-08,2026-06-24,45,Economy Saver,331.05,59.59,58.26,35,483.9,airline site,2026-06-24T00:00:00+00:00
BLR-HYD,Air India,2026-08-08,2026-06-24,45,Economy Flex,345.25,62.14,58.26,42,507.65,MakeMyTrip,2026-06-24T00:00:00+00:00
BLR-HYD,Air India Express,2026-08-08,2026-06-24,45,Premium Economy,351.63,63.29,58.26,49,522.18,Cleartrip,2026-06-24T00:00:00+00:00
BLR-HYD,Akasa Air,2026-08-08,2026-06-24,45,Economy Saver,366.55,65.98,58.26,35,525.79,ixigo,2026-06-24T00:00:00+00:00
BLR-HYD,SpiceJet,2026-08-08,2026-06-24,45,Economy Flex,368.78,66.38,58.26,42,535.42,airline site,2026-06-24T00:00:00+00:00
MAA-DEL,IndiGo,2026-06-25,2026-06-24,1,Economy Saver,1168.9,210.4,81.68,35,1495.98,MakeMyTrip,2026-06-24T00:00:00+00:00
MAA-DEL,Air India,2026-06-25,2026-06-24,1,Economy Flex,1275.27,229.55,81.68,42,1628.5,Cleartrip,2026-06-24T00:00:00+00:00
MAA-DEL,Air India Express,2026-06-25,2026-06-24,1,Premium Economy,1174.91,211.48,81.68,49,1517.07,ixigo,2026-06-24T00:00:00+00:00
MAA-DEL,Akasa Air,2026-06-25,2026-06-24,1,Economy Saver,1250.07,225.01,81.68,35,1591.76,airline site,2026-06-24T00:00:00+00:00
MAA-DEL,SpiceJet,2026-06-25,2026-06-24,1,Economy Flex,1276.57,229.78,81.68,42,1630.03,MakeMyTrip,2026-06-24T00:00:00+00:00
MAA-DEL,IndiGo,2026-07-01,2026-06-24,7,Economy Saver,1061.82,191.13,81.68,35,1369.63,MakeMyTrip,2026-06-24T00:00:00+00:00
MAA-DEL,Air India,2026-07-01,2026-06-24,7,Economy Flex,1053.97,189.71,81.68,42,1367.36,Cleartrip,2026-06-24T00:00:00+00:00
MAA-DEL,Air India Express,2026-07-01,2026-06-24,7,Premium Economy,1198.22,215.68,81.68,49,1544.58,ixigo,2026-06-24T00:00:00+00:00
MAA-DEL,Akasa Air,2026-07-01,2026-06-24,7,Economy Saver,1195.23,215.14,81.68,35,1527.05,airline site,2026-06-24T00:00:00+00:00
MAA-DEL,SpiceJet,2026-07-01,2026-06-24,7,Economy Flex,1165.98,209.88,81.68,42,1499.54,MakeMyTrip,2026-06-24T00:00:00+00:00
MAA-DEL,IndiGo,2026-07-09,2026-06-24,15,Economy Saver,943.71,169.87,81.68,35,1230.26,MakeMyTrip,2026-06-24T00:00:00+00:00
MAA-DEL,Air India,2026-07-09,2026-06-24,15,Economy Flex,1038.53,186.94,81.68,42,1349.15,Cleartrip,2026-06-24T00:00:00+00:00
MAA-DEL,Air India Express,2026-07-09,2026-06-24,15,Premium Economy,1101.38,198.25,81.68,49,1430.31,ixigo,2026-06-24T00:00:00+00:00
MAA-DEL,Akasa Air,2026-07-09,2026-06-24,15,Economy Saver,1197.27,215.51,81.68,35,1529.46,airline site,2026-06-24T00:00:00+00:00
MAA-DEL,SpiceJet,2026-07-09,2026-06-24,15,Economy Flex,1285.72,231.43,81.68,42,1640.83,MakeMyTrip,2026-06-24T00:00:00+00:00
MAA-DEL,IndiGo,2026-07-24,2026-06-24,30,Economy Saver,898.2,161.68,81.68,35,1176.56,MakeMyTrip,2026-06-24T00:00:00+00:00
MAA-DEL,Air India,2026-07-24,2026-06-24,30,Economy Flex,877.51,157.95,81.68,42,1159.14,Cleartrip,2026-06-24T00:00:00+00:00
MAA-DEL,Air India Express,2026-07-24,2026-06-24,30,Premium Economy,862.33,155.22,81.68,49,1148.23,ixigo,2026-06-24T00:00:00+00:00
MAA-DEL,Akasa Air,2026-07-24,2026-06-24,30,Economy Saver,992.27,178.61,81.68,35,1287.56,airline site,2026-06-24T00:00:00+00:00
MAA-DEL,SpiceJet,2026-07-24,2026-06-24,30,Economy Flex,977.95,176.03,81.68,42,1277.66,MakeMyTrip,2026-06-24T00:00:00+00:00
MAA-DEL,IndiGo,2026-08-08,2026-06-24,45,Economy Saver,675.74,121.63,81.68,35,914.05,MakeMyTrip,2026-06-24T00:00:00+00:00
MAA-DEL,Air India,2026-08-08,2026-06-24,45,Economy Flex,692.92,124.73,81.68,42,941.33,Cleartrip,2026-06-24T00:00:00+00:00
MAA-DEL,Air India Express,2026-08-08,2026-06-24,45,Premium Economy,728.63,131.15,81.68,49,990.46,ixigo,2026-06-24T00:00:00+00:00
MAA-DEL,Akasa Air,2026-08-08,2026-06-24,45,Economy Saver,787.4,141.73,81.68,35,1045.81,airline site,2026-06-24T00:00:00+00:00
MAA-DEL,SpiceJet,2026-08-08,2026-06-24,45,Economy Flex,783.63,141.05,81.68,42,1048.36,MakeMyTrip,2026-06-24T00:00:00+00:00
DEL-BOM,IndiGo,2026-06-26,2026-06-25,1,Economy Flex,886.59,159.59,70.48,35,1151.66,airline site,2026-06-25T00:00:00+00:00
DEL-BOM,Air India,2026-06-26,2026-06-25,1,Premium Economy,885.16,159.33,70.48,42,1156.97,MakeMyTrip,2026-06-25T00:00:00+00:00
DEL-BOM,Air India Express,2026-06-26,2026-06-25,1,Economy Saver,890.27,160.25,70.48,49,1170.0,Cleartrip,2026-06-25T00:00:00+00:00
DEL-BOM,Akasa Air,2026-06-26,2026-06-25,1,Economy Flex,971.14,174.81,70.48,35,1251.43,ixigo,2026-06-25T00:00:00+00:00
DEL-BOM,SpiceJet,2026-06-26,2026-06-25,1,Premium Economy,1022.66,184.08,70.48,42,1319.22,airline site,2026-06-25T00:00:00+00:00
DEL-BOM,IndiGo,2026-07-02,2026-06-25,7,Economy Flex,828.95,149.21,70.48,35,1083.64,airline site,2026-06-25T00:00:00+00:00
DEL-BOM,Air India,2026-07-02,2026-06-25,7,Premium Economy,806.12,145.1,70.48,42,1063.7,MakeMyTrip,2026-06-25T00:00:00+00:00
DEL-BOM,Air India Express,2026-07-02,2026-06-25,7,Economy Saver,862.48,155.25,70.48,49,1137.21,Cleartrip,2026-06-25T00:00:00+00:00
DEL-BOM,Akasa Air,2026-07-02,2026-06-25,7,Economy Flex,839.03,151.03,70.48,35,1095.54,ixigo,2026-06-25T00:00:00+00:00
DEL-BOM,SpiceJet,2026-07-02,2026-06-25,7,Premium Economy,840.42,151.28,70.48,42,1104.18,airline site,2026-06-25T00:00:00+00:00
DEL-BOM,IndiGo,2026-07-10,2026-06-25,15,Economy Flex,744.27,133.97,70.48,35,983.72,airline site,2026-06-25T00:00:00+00:00
DEL-BOM,Air India,2026-07-10,2026-06-25,15,Premium Economy,777.89,140.02,70.48,42,1030.39,MakeMyTrip,2026-06-25T00:00:00+00:00
DEL-BOM,Air India Express,2026-07-10,2026-06-25,15,Economy Saver,900.45,162.08,70.48,49,1182.01,Cleartrip,2026-06-25T00:00:00+00:00
DEL-BOM,Akasa Air,2026-07-10,2026-06-25,15,Economy Flex,827.0,148.86,70.48,35,1081.34,ixigo,2026-06-25T00:00:00+00:00
DEL-BOM,SpiceJet,2026-07-10,2026-06-25,15,Premium Economy,914.11,164.54,70.48,42,1191.13,airline site,2026-06-25T00:00:00+00:00
DEL-BOM,IndiGo,2026-07-25,2026-06-25,30,Economy Flex,625.46,112.58,70.48,35,843.52,airline site,2026-06-25T00:00:00+00:00
DEL-BOM,Air India,2026-07-25,2026-06-25,30,Premium Economy,691.24,124.42,70.48,42,928.14,MakeMyTrip,2026-06-25T00:00:00+00:00
DEL-BOM,Air India Express,2026-07-25,2026-06-25,30,Economy Saver,699.2,125.86,70.48,49,944.54,Cleartrip,2026-06-25T00:00:00+00:00
DEL-BOM,Akasa Air,2026-07-25,2026-06-25,30,Economy Flex,706.02,127.08,70.48,35,938.58,ixigo,2026-06-25T00:00:00+00:00
DEL-BOM,SpiceJet,2026-07-25,2026-06-25,30,Premium Economy,730.25,131.44,70.48,42,974.17,airline site,2026-06-25T00:00:00+00:00
DEL-BOM,IndiGo,2026-08-09,2026-06-25,45,Economy Flex,508.9,91.6,70.48,35,705.98,airline site,2026-06-25T00:00:00+00:00
DEL-BOM,Air India,2026-08-09,2026-06-25,45,Premium Economy,542.63,97.67,70.48,42,752.78,MakeMyTrip,2026-06-25T00:00:00+00:00
DEL-BOM,Air India Express,2026-08-09,2026-06-25,45,Economy Saver,541.32,97.44,70.48,49,758.24,Cleartrip,2026-06-25T00:00:00+00:00
DEL-BOM,Akasa Air,2026-08-09,2026-06-25,45,Economy Flex,541.05,97.39,70.48,35,743.92,ixigo,2026-06-25T00:00:00+00:00
DEL-BOM,SpiceJet,2026-08-09,2026-06-25,45,Premium Economy,553.9,99.7,70.48,42,766.08,airline site,2026-06-25T00:00:00+00:00
